"IBM.open"	"IBM.high"	"IBM.low"	"IBM.close"	"IBM.adjclose"	"IBM.volume"
"325"	122.389999	123.720001	120.699997	123.080002	89.251694	18999100
"326"	123.919998	125	123.150002	124.400002	90.208878	12490800
"327"	123.620003	124.510002	122.050003	124.349998	90.172661	6952800
"328"	123.870003	124.349998	123.010002	123.669998	89.679527	5417500
"329"	123.690002	124.779999	122.639999	123.599998	89.628792	7593300
"330"	123.379997	124.900002	122.730003	124.190002	90.056633	5996700
"331"	124.5	124.5	122.059998	123.080002	89.251694	6313400
"332"	122.610001	123.050003	121.639999	121.690002	88.243752	5605200
"333"	122.040001	123.199997	122.040001	122.849998	89.084915	7226000
"334"	123.339996	123.5	120.5	120.699997	87.525848	8128300
"335"	121.059998	124.43	121.059998	123.610001	89.636032	8230200
"336"	123.300003	124	121.760002	123.18	89.324226	6916600
"337"	122.290001	123.25	121.739998	122.029999	88.490303	6359300
"338"	121.5	123.339996	120.779999	122.82	89.063171	5910400
"339"	122.779999	124.980003	122.410004	124.139999	90.388329	11406800
"340"	124.199997	125.169998	123.699997	124.919998	90.956268	9794000
"341"	124.370003	124.650002	123.629997	124.059998	90.33007	5502900
"342"	123.82	125.989998	123.559998	125.239998	91.189262	8666800
"343"	125.120003	126.699997	125.029999	126.580002	92.164948	9693400
"344"	126.519997	128.830002	126.199997	127.519997	92.849358	8888300
"345"	127.330002	128.679993	126.900002	128.460007	93.533813	7227900
"346"	128.460007	128.479996	126.800003	127.82	93.067818	6372100
"347"	127.68	128.210007	126.050003	126.489998	92.099388	6385200
"348"	126.050003	126.050003	124.449997	125.18	91.145576	7017700
"349"	125.050003	126.400002	123.019997	123.620003	90.00972	8333900
"350"	123.550003	125.349998	123.550003	124.699997	90.796074	5031300
"351"	124.349998	124.910004	123.769997	124.199997	90.43203	4701500
"352"	124.010002	127.379997	124	127.32	92.703728	6989200
"353"	127.5	129.539993	126.989998	129.539993	94.320168	9875600
"354"	128.759995	129.990005	128.660004	129.710007	94.443954	7561500
"355"	129.220001	129.990005	128.800003	129.429993	94.240074	8652900
"356"	128.490005	129.369995	126.699997	127.360001	92.732872	7599300
"357"	127.470001	129	127.459999	127.839996	93.082367	7238200
"358"	127.870003	128.5	126.449997	127.550003	92.871193	6432300
"359"	127.410004	129.039993	127.199997	128.470001	93.541077	6153300
"360"	127.769997	128.139999	124.739998	124.940002	90.970848	7886200
"361"	125.379997	126.18	124.059998	125.860001	91.640701	5584000
"362"	124.879997	126.720001	124.629997	125.940002	91.698952	5384200
"363"	125.900002	125.900002	122.860001	123.25	89.740311	7207200
